Name,R G CARNATION FIRST FAMILY LP,,,,,
Address,962 S MOLLISON AVE 4 El Cajon CA 92020,,,,,
Account Number,210001211079,,,,,
Disclaimer,The information contained in this file is intended for the personal and confidential use of the recipient(s) named above.  Any unauthorized use is prohibited.,,,,,
Title,CSV Export Electric Meter(s),,,,,
Resource,Electric,,,,,
Meter Number,6330116,,,,,
Interval UOM,Minute(s),,,,,
Reading Start,5/1/2025 0:00,,,,,
Reading End,5/30/2025 23:45,,,,,
Total Duration,30 Days,,,,,
Total Usage,28.6549000000001,,,,,
UOM,kWh,,,,,
Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
6330116,5/1/2025,12:00 AM,15,0.01,0,0.01
6330116,5/1/2025,12:15 AM,15,0.06,0,0.06
6330116,5/1/2025,12:30 AM,15,0.025,0,0.025
6330116,5/1/2025,12:45 AM,15,0.025,0,0.025
6330116,5/1/2025,1:00 AM,15,0.03,0,0.03
6330116,5/1/2025,1:15 AM,15,0.025,0,0.025
6330116,5/1/2025,1:30 AM,15,0.03,0,0.03
6330116,5/1/2025,1:45 AM,15,0.26,0,0.26
6330116,5/1/2025,2:00 AM,15,0.005,0,0.005
6330116,5/1/2025,2:15 AM,15,0.01,0,0.01
6330116,5/1/2025,2:30 AM,15,0.025,0,0.025
6330116,5/1/2025,2:45 AM,15,0.03,0,0.03
6330116,5/1/2025,3:00 AM,15,0.005,0,0.005
6330116,5/1/2025,3:15 AM,15,0.01,0,0.01
6330116,5/1/2025,3:30 AM,15,0.02,0,0.02
6330116,5/1/2025,3:45 AM,15,0.025,0,0.025
6330116,5/1/2025,4:00 AM,15,0.015,0,0.015
6330116,5/1/2025,4:15 AM,15,0.005,0,0.005
6330116,5/1/2025,4:30 AM,15,0.025,0,0.025
6330116,5/1/2025,4:45 AM,15,0.025,0,0.025
6330116,5/1/2025,5:00 AM,15,0.005,0,0.005
6330116,5/1/2025,5:15 AM,15,0.01,0,0.01
6330116,5/1/2025,5:30 AM,15,0.03,0,0.03
6330116,5/1/2025,5:45 AM,15,0.255,0,0.255
6330116,5/1/2025,6:00 AM,15,0.01,0,0.01
6330116,5/1/2025,6:15 AM,15,0.035,0.0004,0.0345
6330116,5/1/2025,6:30 AM,15,0.02,0.0016,0.0183
6330116,5/1/2025,6:45 AM,15,0.01,0.0057,0.0042
6330116,5/1/2025,7:00 AM,15,0.025,0.0136,0.0113
6330116,5/1/2025,7:15 AM,15,0.03,0.0208,0.0091
6330116,5/1/2025,7:30 AM,15,0.01,0.029,-0.019
6330116,5/1/2025,7:45 AM,15,0.01,0.0367,-0.0267
6330116,5/1/2025,8:00 AM,15,0.025,0.0482,-0.0232
6330116,5/1/2025,8:15 AM,15,0.005,0.0669,-0.0619
6330116,5/1/2025,8:30 AM,15,0.01,0.0708,-0.0608
6330116,5/1/2025,8:45 AM,15,0.025,0.0868,-0.0618
6330116,5/1/2025,9:00 AM,15,0.01,0.1483,-0.1383
6330116,5/1/2025,9:15 AM,15,0.005,0.2462,-0.2412
6330116,5/1/2025,9:30 AM,15,0.025,0.2493,-0.2243
6330116,5/1/2025,9:45 AM,15,0.015,0.2469,-0.2319
6330116,5/1/2025,10:00 AM,15,0.005,0.2541,-0.2491
